caption,filepath,uuid_clean
"Pteraster exhibits a pentagonal shape, soft pink coloration, and a textured surface with tubercles, resting on a fine sediment substrate.",src/data/Fathomnet-by-Phylum-2/train/images/405f9f17-9ecf-46ad-8590-44f967731c6b_original_jpg.rf.a94a84bda2ef02bb03b75c7c75bc2850.jpg,405f9f17-9ecf-46ad-8590-44f967731c6b
"Macrouridae exhibit elongated, streamlined bodies with a dark, mottled coloration, resting on a hard, rocky substrate covered in fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/a30c7c5d-a56c-4a1e-a19f-e77a53819f07_original_jpg.rf.15d92309d702a6934bf246730be17cde.jpg,a30c7c5d-a56c-4a1e-a19f-e77a53819f07
"Siphonophorae exhibit elongated, translucent bodies with a delicate texture, drifting above a substrate of rocky sediment.",src/data/Fathomnet-by-Phylum-2/train/images/fc4f0300-8602-4b52-bf31-e400ff4aecf7_original_jpg.rf.734f7c0413ca8c269e2c361caefb0c8a.jpg,fc4f0300-8602-4b52-bf31-e400ff4aecf7
"Bathyraja spinosissima exhibits a flattened, disc-like shape with a grayish coloration and rough texture, resting on rocky substrate at depth.",src/data/Fathomnet-by-Phylum-2/train/images/bb8f49a5-21ad-4354-93a4-806005e61586_original_jpg.rf.ca0d902e9cafbdb310e7d04132522539.jpg,bb8f49a5-21ad-4354-93a4-806005e61586
"Siphonophorae exhibit elongated, translucent bodies with a purple hue, drifting above a substrate of rocky sediment.",src/data/Fathomnet-by-Phylum-2/train/images/63dc7abd-52d3-432b-8166-00e6a849efb7_original_jpg.rf.2ca42cc49705c7ebf5867c94c1a92245.jpg,63dc7abd-52d3-432b-8166-00e6a849efb7
"Solasteridae exhibit a star-shaped morphology with a rough texture, displaying muted colors against a rocky substrate at 2236.75m depth.",src/data/Fathomnet-by-Phylum-2/train/images/07f19530-a0c3-4a49-ab20-77f65c576d60_original_jpg.rf.e82ea1b842d45d402f7b1f3b754ddfcd.jpg,07f19530-a0c3-4a49-ab20-77f65c576d60
"Opisthoteuthis cf. californiana exhibits a rounded, soft-bodied morphology with a reddish-brown coloration and smooth texture, resting on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/0d6d3ac3-ce5f-4cf1-a577-9b2ac77aa6dd_original_jpg.rf.ede2c4ae52482435e014c08833ce4d1b.jpg,0d6d3ac3-ce5f-4cf1-a577-9b2ac77aa6dd
"Pannychia exhibits elongated, gelatinous bodies with a translucent appearance, while Tunicata displays a more rigid, tunicate structure on rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/63a1de4f-0fa5-438d-b9c8-2ed5bfc7a67c_original_jpg.rf.cf7185c0929d102b4db4e9308ab73aa2.jpg,63a1de4f-0fa5-438d-b9c8-2ed5bfc7a67c
"Psychrolutes phrictus exhibits a gelatinous, bulbous body with a pale coloration and a rough texture, resting on rocky substrate interspersed with sediment and organic debris.",src/data/Fathomnet-by-Phylum-2/train/images/ade3d7cf-2ee8-4320-9d54-66113f046737_original_jpg.rf.72c0ab61f2a8edb3dc20103d6a48e389.jpg,ade3d7cf-2ee8-4320-9d54-66113f046737
"Coryphaenoides acrolepis exhibits an elongated, streamlined body with a pale coloration, resting on a substrate of coarse, uneven basaltic rock.",src/data/Fathomnet-by-Phylum-2/train/images/85f39cfe-0173-4645-8994-e1389c54c88b_original_jpg.rf.d31eb03e1f0a6cf4406248d0cd548c32.jpg,85f39cfe-0173-4645-8994-e1389c54c88b
"Opisthoteuthis cf. californiana exhibits a rounded, gelatinous body with a reddish-brown hue, resting on a soft, sandy substrate.",src/data/Fathomnet-by-Phylum-2/train/images/7f7898b2-287d-4495-92fc-e5dc63b648ad_original_jpg.rf.dc91247c3ebf2103153b281f46357505.jpg,7f7898b2-287d-4495-92fc-e5dc63b648ad
"Coryphaenoides exhibit elongated, streamlined bodies with a dark coloration, resting on a substrate of rocky sediment.",src/data/Fathomnet-by-Phylum-2/train/images/f13d6e70-978d-40d2-bc0c-bd1b45c71f22_original_jpg.rf.356ca5e67fdb496324ad8ce2a73437e8.jpg,f13d6e70-978d-40d2-bc0c-bd1b45c71f22
"Synallactes exhibit elongated, cylindrical bodies with a smooth, dark coloration, resting on a substrate of irregular basaltic rocks.",src/data/Fathomnet-by-Phylum-2/train/images/edafbc40-bf9b-4913-8c0f-bd831444db54_original_jpg.rf.4bb2dfe8977ae068123b666dd3531315.jpg,edafbc40-bf9b-4913-8c0f-bd831444db54
"Antimora microlepis exhibits an elongated, streamlined body with a dark coloration and smooth texture, resting on a sandy substrate interspersed with rocky formations.",src/data/Fathomnet-by-Phylum-2/train/images/b0846205-0ba9-45ec-a60f-e2aab2d1f2bc_original_jpg.rf.604bfd4cbe698c06223c6802a183115c.jpg,b0846205-0ba9-45ec-a60f-e2aab2d1f2bc
"Pannychia moseleyi exhibits a translucent, elongated body with feathery polyps, resting on a substrate of fine sediment and rocky outcrops.",src/data/Fathomnet-by-Phylum-2/train/images/78026949-b615-4ada-9036-111b4be70b46_original_jpg.rf.281f4615b6efe18176120561f5848923.jpg,78026949-b615-4ada-9036-111b4be70b46
"The manipulator features a metallic, angular design with a smooth texture, interacting with a substrate of coarse, fragmented rock and sediment.",src/data/Fathomnet-by-Phylum-2/train/images/0fca4ae6-3c42-40d8-9d15-b7740fbaca16_original_jpg.rf.6fb87f4d3d7e932baecca9c20def80d6.jpg,0fca4ae6-3c42-40d8-9d15-b7740fbaca16
"Pteraster exhibits a pentagonal shape with a pale pink hue, rough texture, and is situated on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/8eb9fb01-42a2-4a48-a0d3-c9ca72fbbe3d_original_jpg.rf.e65575e9b2e55a01753d60a8ce7699a9.jpg,8eb9fb01-42a2-4a48-a0d3-c9ca72fbbe3d
"Hymenaster exhibits a star-shaped, pale body with a smooth texture, resting on a rugged rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/db28e17c-4846-4f24-a764-f22e48f8d929_original_jpg.rf.5098bf7e0f40fcc0f95139cc148bcbad.jpg,db28e17c-4846-4f24-a764-f22e48f8d929
"Pannychia moseleyi exhibits a cylindrical shape, reddish-brown color, rough texture, and resides on a soft sediment substrate at 1440.86 m depth.",src/data/Fathomnet-by-Phylum-2/train/images/d2d6b0cf-65bb-4274-94b2-d232581cb426_original_jpg.rf.d70d111dc7479579f8d473940724a304.jpg,d2d6b0cf-65bb-4274-94b2-d232581cb426
