uuid,caption
405f9f17-9ecf-46ad-8590-44f967731c6b,"Pteraster exhibits a pentagonal shape, soft pink coloration, and a textured surface with tubercles, resting on a fine sediment substrate."
a30c7c5d-a56c-4a1e-a19f-e77a53819f07,"Macrouridae exhibit elongated, streamlined bodies with a dark, mottled coloration, resting on a hard, rocky substrate covered in fine sediment."
fc4f0300-8602-4b52-bf31-e400ff4aecf7,"Siphonophorae exhibit elongated, translucent bodies with a delicate texture, drifting above a substrate of rocky sediment."
bb8f49a5-21ad-4354-93a4-806005e61586,"Bathyraja spinosissima exhibits a flattened, disc-like shape with a grayish coloration and rough texture, resting on rocky substrate at depth."
63dc7abd-52d3-432b-8166-00e6a849efb7,"Siphonophorae exhibit elongated, translucent bodies with a purple hue, drifting above a substrate of rocky sediment."
07f19530-a0c3-4a49-ab20-77f65c576d60,"Solasteridae exhibit a star-shaped morphology with a rough texture, displaying muted colors against a rocky substrate at 2236.75m depth."
0d6d3ac3-ce5f-4cf1-a577-9b2ac77aa6dd,"Opisthoteuthis cf. californiana exhibits a rounded, soft-bodied morphology with a reddish-brown coloration and smooth texture, resting on a rocky substrate."
63a1de4f-0fa5-438d-b9c8-2ed5bfc7a67c,"Pannychia exhibits elongated, gelatinous bodies with a translucent appearance, while Tunicata displays a more rigid, tunicate structure on rocky substrate."
ade3d7cf-2ee8-4320-9d54-66113f046737,"Psychrolutes phrictus exhibits a gelatinous, bulbous body with a pale coloration and a rough texture, resting on rocky substrate interspersed with sediment and organic debris."
85f39cfe-0173-4645-8994-e1389c54c88b,"Coryphaenoides acrolepis exhibits an elongated, streamlined body with a pale coloration, resting on a substrate of coarse, uneven basaltic rock."
7f7898b2-287d-4495-92fc-e5dc63b648ad,"Opisthoteuthis cf. californiana exhibits a rounded, gelatinous body with a reddish-brown hue, resting on a soft, sandy substrate."
f13d6e70-978d-40d2-bc0c-bd1b45c71f22,"Coryphaenoides exhibit elongated, streamlined bodies with a dark coloration, resting on a substrate of rocky sediment."
edafbc40-bf9b-4913-8c0f-bd831444db54,"Synallactes exhibit elongated, cylindrical bodies with a smooth, dark coloration, resting on a substrate of irregular basaltic rocks."
b0846205-0ba9-45ec-a60f-e2aab2d1f2bc,"Antimora microlepis exhibits an elongated, streamlined body with a dark coloration and smooth texture, resting on a sandy substrate interspersed with rocky formations."
78026949-b615-4ada-9036-111b4be70b46,"Pannychia moseleyi exhibits a translucent, elongated body with feathery polyps, resting on a substrate of fine sediment and rocky outcrops."
0fca4ae6-3c42-40d8-9d15-b7740fbaca16,"The manipulator features a metallic, angular design with a smooth texture, interacting with a substrate of coarse, fragmented rock and sediment."
8eb9fb01-42a2-4a48-a0d3-c9ca72fbbe3d,"Pteraster exhibits a pentagonal shape with a pale pink hue, rough texture, and is situated on a rocky substrate."
db28e17c-4846-4f24-a764-f22e48f8d929,"Hymenaster exhibits a star-shaped, pale body with a smooth texture, resting on a rugged rocky substrate."
d2d6b0cf-65bb-4274-94b2-d232581cb426,"Pannychia moseleyi exhibits a cylindrical shape, reddish-brown color, rough texture, and resides on a soft sediment substrate at 1440.86 m depth."
a8b47b61-389d-480a-840e-e10b6737316b,"Antimora microlepis exhibits an elongated, streamlined body with a dark coloration and smooth texture, resting on a mixed substrate of rocky outcrops and fine sediment."
89f52ffb-4ff2-460d-9534-64df47fdfc65,"Cladorhizidae exhibits a branched, sponge-like morphology with a rough texture, while Hippasteria displays a pentagonal shape, both on a rocky substrate covered in sediment."
0e959176-7522-417a-92b3-00571c073b13,"Paragorgia arborea exhibits a bushy, fan-shaped morphology with a pink hue and a rough texture, anchored on a rocky substrate."
1c8a72dd-2e3f-4f1f-b687-790d589a9dc0,"Synallactes exhibit elongated, soft-bodied morphology with a pale coloration, residing on a rocky substrate interspersed with sediment."
ff582fb9-e98f-4b9a-83d3-df276f5ab384,"Antimora microlepis exhibits an elongated, streamlined body with a dark brown coloration and smooth texture, resting on a substrate of fine sediment and scattered rocky outcrops."
2497f725-5471-4879-a6c2-484a402839d9,"Psychrolutes phrictus exhibits a gelatinous, rounded body with a pale coloration, resting on a rocky substrate characterized by uneven, fragmented surfaces."
372051d3-ca43-43e6-a8c5-a0c92fb595f3,"Zoantharia exhibit translucent polyps with feathery tentacles on a rocky substrate, while Galatheoidea display pale chelipeds amidst sediment and polyps."
1bec787f-0fdd-4956-9d74-2aea731011aa,"Opisthoteuthis cf. californiana exhibits a rounded, gelatinous body with a reddish hue, resting on a substrate of coarse sediment and rocky outcrops."
84f4181e-0d5c-490a-902d-2d4e9d28999d,"Psychrolutes phrictus exhibits a gelatinous, rounded body with a mottled gray coloration, resting on a substrate of angular rock and sediment."
f3b9348a-8e3f-4205-b358-07f3c588dc66,"Synallactidae exhibit elongated, soft-bodied forms with a mottled coloration, resting on a substrate of coarse sediment interspersed with smooth, dark rocks."
63d4b8de-1fa2-47bf-b13e-80ffc114cb7c,"Peniagone exhibits a gelatinous, translucent body with a bell shape, resting on a rocky substrate covered in fine sediment."
2ea570f9-4688-4fa0-91f2-7b2f6062eaa1,"Coryphaenoides acrolepis exhibits an elongated, streamlined body with a silvery coloration, resting on a rocky substrate interspersed with fine sediment."
8c0419d9-b33e-4bce-8735-f64b422292c4,"Parantipathes exhibits a branching, white structure with a rough texture, while Holothuroidea appears elongated and pinkish, both resting on a rocky substrate."
865a6253-8bea-4c72-8795-c3e55c85842b,"Opisthoteuthis cf. californiana exhibits a rounded, gelatinous body with a reddish hue, textured skin, and is situated on a rocky substrate."
eb3c3820-7268-419c-94f6-c46b0c6316a2,"Antimora microlepis exhibits an elongated, streamlined body with a dark coloration, resting on a rocky substrate interspersed with fine sediment."
40a3cdab-8638-4320-a507-aa42a4b10a0d,"Bathyraja spinosissima exhibits a flattened, disc-shaped body with a grayish coloration and rough texture, resting on a rocky substrate."
6fd85010-38ed-4535-8278-f39df1203c58,"Munnopsidae exhibit elongated, robust bodies with a smooth texture, typically pale coloration, residing on rocky substrate at 1556.46 m depth."
4a2934fb-4ae3-4c14-8eaa-7f56dbfc407d,"Bathyraja spinosissima exhibits a flattened, disc-shaped body with a pale coloration and smooth texture, resting on a rocky substrate."
a8ef7273-acb4-408f-8742-b5bf9a7a2a6c,"Hymenaster exhibits a flattened, star-shaped morphology with a pale, translucent coloration and a smooth texture, resting on a rocky substrate."
746f8e88-87c3-45bd-994d-0645f0ba3be5,"Solmissus exhibits a bell-shaped, translucent body with long, trailing tentacles, suspended in a pelagic environment devoid of solid substrate."
a8580f72-0371-478c-b9a3-1c673da63771,"Holothuroidea exhibit elongated, soft-bodied morphology with a leathery texture, blending muted browns and greens against a rocky sediment substrate."
17dca085-0aa8-47c3-be60-b66c844d5778,"Hymenaster exhibits a star-shaped morphology with a pale coloration, textured surface, resting on a rocky substrate."
9ce237b9-c2f6-487b-9a48-015a0fc82ca7,"Synallactes exhibit elongated, cylindrical bodies with a smooth texture, displaying a pale coloration against a substrate of irregular, rocky sediment."
7428d7fe-8fbd-4a17-b173-cabe0c648938,"Hymenaster exhibits a pentagonal shape, reddish-brown coloration, smooth texture, resting on a substrate of fine sediment interspersed with rocky outcrops."
42885d57-10c6-4cda-ac27-12a023133b24,"Coryphaenoides acrolepis exhibits an elongated, streamlined body with a pale coloration, resting on a rugged, rocky substrate at 1710.82m depth."
b4fe74b2-b7f1-437d-8db1-a14a15497a2d,"Pteraster exhibits a pentagonal shape, pale pink color, rough texture, resting on a soft sediment substrate with scattered rocks."
67aad265-8a88-4275-8e8c-fac22a989d28,"Antimora microlepis exhibits an elongated, streamlined body with a dark brown coloration and smooth texture, swimming above a substrate of fine sediment and scattered rocks."
515be2d2-e6cd-4b6a-9e4a-42503f088388,"Opisthoteuthis cf. californiana exhibits a bulbous, gelatinous body with a pale pink hue, hovering above a soft sediment substrate."
ced793e4-1030-4df0-852c-affeb09c5134,"Chrysogorgia pinnata exhibits a branching, fan-like morphology with a pale coloration, soft texture, and is anchored to a rocky substrate."
b784d58d-9e6d-4d2c-9117-fad7801d8e57,"Psychrolutes phrictus exhibits a gelatinous, rounded body with a pale coloration and smooth texture, resting on a rocky substrate with sedimentary features."
2993be81-ae0d-4b23-8796-53a394fa2bf8,"Paragorgia arborea exhibits a branching, tree-like morphology with a pale pink color and a rough texture, situated on a rocky substrate."
c0346466-21e3-4f90-ab36-63a1bf239a2c,"Pteraster exhibits a pentagonal shape, pale pink coloration with reddish-brown spots, and a rough texture, resting on a rocky substrate."
95d22136-1a0d-4f30-9c25-b1f2834bb13b,"Chrysogorgia exhibits a branching, bushy morphology with a pale color and a soft, flexible texture, anchored to a rocky substrate."
2d3ef085-a4da-4b23-ad77-f136e6f95e72,"Bathyraja spinosissima exhibits a flattened, disc-shaped body with a mottled gray coloration, resting on a substrate of rocky sediment."
657104a4-6700-4568-b3a4-fc008faa6896,"Synallactidae exhibit elongated, soft-bodied morphology with a pale coloration, resting on a substrate of uneven, rocky sediment interspersed with fine particles."
28d8fe07-fb5b-4431-854a-0d4ed60313c8,"Paragorgia arborea exhibits a bushy, branching morphology with pale coloration and a rough, textured surface, situated on a rocky substrate."
d202db2b-24d3-43a3-9b3c-d45fe02a0ca9,"Antimora microlepis exhibits an elongated, streamlined body with a silvery hue, resting on a soft, sedimentary substrate characterized by fine silt and occasional rocky outcrops."
cdecd3e9-6671-49b8-9afb-fe9be465bef9,"Comatulida exhibit feathery arms in various hues, while Synallactes display elongated bodies with a smooth texture, both residing on rocky substrate."
bb9f0d74-051b-4787-a9b0-f283077d273f,"Paragorgia arborea exhibits a bushy, fan-like structure with a pink hue, anchored to a rocky substrate."
cc6cb9aa-b3ac-4a20-a827-8cff61589319,"Ceriantharia exhibit elongated, cylindrical polyps with a smooth texture, surrounded by rocky substrate interspersed with fine sediment at 2270 m depth."
eddc7371-c7ed-4522-ac82-fe2fbae1a1b1,"Macrouridae exhibit elongated, fusiform bodies with a dark, mottled coloration, resting on a rocky substrate characterized by smooth, consolidated basalt formations."
