uuid,concept,caption,depth,crop_file
bc35cf0c-283c-48af-88f0-b2e2ac2d0279,Bathyraja spinosissima,"The image shows a stingray lying on its side in the ocean floor with its tail pointing upwards. The stingray has a gray body that is covered in small bumps, giving it a rough texture. Its tail appears to be slightly curled at the end, adding to its unique appearance. The surface of the water around the stingray is greenish-blue, suggesting that the image was taken from above or near the ocean floor. There are no other objects or creatures visible in the image, and the stingray's position on the ground indicates it might have been resting before moving onto a different location within its habitat.",1832.6800537109375,cropss/crop_0_bc35cf0c-283c-48af-88f0-b2e2ac2d0279.jpg
ebaab37a-a3a0-4354-87a6-904ce1f16b2b,Bathyraja abyssicola,"The image shows an underwater scene with a small fish-like creature resting on a rock in the water. The creature has a gray body that blends into the background, making it difficult to see at first glance. Its tail is visible, adding to its aquatic appearance. The surface of the rock appears to be rough and uneven, providing a natural habitat for the creature.",1531.449951171875,cropss/crop_1_ebaab37a-a3a0-4354-87a6-904ce1f16b2b.jpg
d1d7c795-cc3b-4059-99a3-f1a7256bbcc1,Pannychia,urn,1466.6099853515625,cropss/crop_2_d1d7c795-cc3b-4059-99a3-f1a7256bbcc1.jpg
4141783d-2a0c-496d-a563-72c17abe9f09,Pannychia moseleyi,urn,1795.1300048828125,cropss/crop_3_4141783d-2a0c-496d-a563-72c17abe9f09.jpg
4141783d-2a0c-496d-a563-72c17abe9f09,Bathyraja spinosissima,"The image shows an underwater scene with a white fish swimming in the water. The fish has a long tail that is visible as it moves through the water. The surface of the water appears to be rocky, which adds texture to the scene. There are no other objects or creatures present in the image besides the fish and its surroundings.",1795.1300048828125,cropss/crop_4_4141783d-2a0c-496d-a563-72c17abe9f09.jpg
024b57e3-3fe4-44e2-8ca1-d5887632c162,Pterasteridae,"The image shows an abstract 2D shape with a white center surrounded by black lines. The edges of the shape appear to be blurred, giving it a rough texture. There is no visible information about the surface material or color of the shape.",1545.3800048828125,cropss/crop_5_024b57e3-3fe4-44e2-8ca1-d5887632c162.jpg
024b57e3-3fe4-44e2-8ca1-d5887632c162,manipulator,"The image shows an underwater scene with a large, metallic arm extending from the bottom of the frame. The arm is equipped with two large claws on its end that appear to be scanning the surface below. The arm's body is gray in color, while the claws are silver. The surface texture appears to be rocky and uneven, suggesting it could be an underwater mountain or a rocky ocean floor.",1545.3800048828125,cropss/crop_6_024b57e3-3fe4-44e2-8ca1-d5887632c162.jpg
024b57e3-3fe4-44e2-8ca1-d5887632c162,polypropylene line,"The image shows an object with a yellow body and black handles. It appears to be a geometric scanner designed for measuring surfaces. The object is positioned on top of a table, facing towards the left side of the frame. The surface texture seems to be rough, as it has a spiky appearance. There are no visible edges or corners that could cause harm if not handled properly.",1545.3800048828125,cropss/crop_7_024b57e3-3fe4-44e2-8ca1-d5887632c162.jpg
024b57e3-3fe4-44e2-8ca1-d5887632c162,equipment,"The image shows an electronic device with a geometric design on its side. The device is made of metal and has a gray color. It appears to be a scanner or a similar type of gadget, as it features a circular hole in the center for a camera lens. The surface texture of the device is described as granular, which means that it has an uneven or rough appearance. The edges of the device are sharp, indicating that they have been intentionally designed with precision and attention to detail.",1545.3800048828125,cropss/crop_8_024b57e3-3fe4-44e2-8ca1-d5887632c162.jpg
024b57e3-3fe4-44e2-8ca1-d5887632c162,drawer,"The image shows an object with a black background that has been marked with yellow numbers from 1 to 8 on each side. The object appears to be a geometric scanner designed for measuring surfaces, possibly used in construction or surveying projects.",1545.3800048828125,cropss/crop_9_024b57e3-3fe4-44e2-8ca1-d5887632c162.jpg
