caption,filepath
"One Pteraster, a star-shaped sea star, exhibits a soft pink coloration and a textured surface with tubercles, resting on a fine sediment substrate.",src/data/Fathomnet-by-Phylum-2/train/images/405f9f17-9ecf-46ad-8590-44f967731c6b_original_jpg.rf.a94a84bda2ef02bb03b75c7c75bc2850.jpg
"A single, elongated Macrouridae specimen, exhibiting a dark, mottled coloration, rests on a hard, rocky substrate covered in fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/a30c7c5d-a56c-4a1e-a19f-e77a53819f07_original_jpg.rf.15d92309d702a6934bf246730be17cde.jpg
"A single, elongated, translucent Siphonophorae (Hydrozoa: nan) specimen drifts above a substrate of rocky sediment.",src/data/Fathomnet-by-Phylum-2/train/images/fc4f0300-8602-4b52-bf31-e400ff4aecf7_original_jpg.rf.734f7c0413ca8c269e2c361caefb0c8a.jpg
"One Bathyraja spinosissima, a member of the family Arhynchobatidae, rests on a rocky substrate at depth, exhibiting a flattened, disc-like shape with a grayish coloration and rough texture.",src/data/Fathomnet-by-Phylum-2/train/images/bb8f49a5-21ad-4354-93a4-806005e61586_original_jpg.rf.ca0d902e9cafbdb310e7d04132522539.jpg
"A single, elongated, translucent Siphonophorae, exhibiting a purple hue, drifts above a substrate of rocky sediment, accompanied by one specimen.",src/data/Fathomnet-by-Phylum-2/train/images/63dc7abd-52d3-432b-8166-00e6a849efb7_original_jpg.rf.2ca42cc49705c7ebf5867c94c1a92245.jpg
"At 2236.75m depth, a single star-shaped Solasteridae (Family: Solasteridae) exhibits a rough texture, displaying muted colors against a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/07f19530-a0c3-4a49-ab20-77f65c576d60_original_jpg.rf.e82ea1b842d45d402f7b1f3b754ddfcd.jpg
"One Opisthoteuthis cf. californiana, a cephalopod belonging to the family Opisthoteuthidae, rests on a rocky substrate with a rounded, soft-bodied morphology.",src/data/Fathomnet-by-Phylum-2/train/images/0d6d3ac3-ce5f-4cf1-a577-9b2ac77aa6dd_original_jpg.rf.ede2c4ae52482435e014c08833ce4d1b.jpg
"Three Pannychia specimens, belonging to the Class Holothuroidea, exhibit elongated, gelatinous bodies with a translucent appearance, while three Tunicata, from the Class Ascidiacea, display a more rigid, tunicate structure on rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/63a1de4f-0fa5-438d-b9c8-2ed5bfc7a67c_original_jpg.rf.cf7185c0929d102b4db4e9308ab73aa2.jpg
"One Psychrolutes phrictus, a member of the Psychrolutidae family, rests on a rocky substrate interspersed with sediment and organic debris.",src/data/Fathomnet-by-Phylum-2/train/images/ade3d7cf-2ee8-4320-9d54-66113f046737_original_jpg.rf.72c0ab61f2a8edb3dc20103d6a48e389.jpg
"One Coryphaenoides acrolepis, a deep-sea fish from the Macrouridae family, rests on a substrate of coarse, uneven basaltic rock.",src/data/Fathomnet-by-Phylum-2/train/images/85f39cfe-0173-4645-8994-e1389c54c88b_original_jpg.rf.d31eb03e1f0a6cf4406248d0cd548c32.jpg
"One Opisthoteuthis cf. californiana, a cephalopod belonging to the family Opisthoteuthidae, rests on a soft, sandy substrate with a rounded, gelatinous body and reddish-brown hue.",src/data/Fathomnet-by-Phylum-2/train/images/7f7898b2-287d-4495-92fc-e5dc63b648ad_original_jpg.rf.dc91247c3ebf2103153b281f46357505.jpg
"A single Coryphaenoides specimen, characterized by its elongated, streamlined body and dark coloration, rests on a substrate of rocky sediment.",src/data/Fathomnet-by-Phylum-2/train/images/f13d6e70-978d-40d2-bc0c-bd1b45c71f22_original_jpg.rf.356ca5e67fdb496324ad8ce2a73437e8.jpg
"A single Synallactes specimen, characterized by its elongated, cylindrical body, rests on a substrate of irregular basaltic rocks.",src/data/Fathomnet-by-Phylum-2/train/images/edafbc40-bf9b-4913-8c0f-bd831444db54_original_jpg.rf.4bb2dfe8977ae068123b666dd3531315.jpg
"One Antimora microlepis, a member of the Moridae family, rests on a sandy substrate interspersed with rocky formations, exhibiting an elongated, streamlined body with dark coloration.",src/data/Fathomnet-by-Phylum-2/train/images/b0846205-0ba9-45ec-a60f-e2aab2d1f2bc_original_jpg.rf.604bfd4cbe698c06223c6802a183115c.jpg
"One Pannychia moseleyi specimen, a member of the Laetmogonidae family, rests on a substrate of fine sediment and rocky outcrops, displaying a translucent, elongated body with feathery polyps.",src/data/Fathomnet-by-Phylum-2/train/images/78026949-b615-4ada-9036-111b4be70b46_original_jpg.rf.281f4615b6efe18176120561f5848923.jpg
"A single manipulator, likely a robotic appendage, interacts with a substrate of coarse, fragmented rock and sediment.",src/data/Fathomnet-by-Phylum-2/train/images/0fca4ae6-3c42-40d8-9d15-b7740fbaca16_original_jpg.rf.6fb87f4d3d7e932baecca9c20def80d6.jpg
"On a rocky substrate, one star-shaped sea star, exhibiting a pale pink hue and rough texture, displays a pentagonal shape.",src/data/Fathomnet-by-Phylum-2/train/images/8eb9fb01-42a2-4a48-a0d3-c9ca72fbbe3d_original_jpg.rf.e65575e9b2e55a01753d60a8ce7699a9.jpg
"A single, pale, star-shaped Hymenaster (Asteroidea, Pterasteridae) specimen rests on a rugged rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/db28e17c-4846-4f24-a764-f22e48f8d929_original_jpg.rf.5098bf7e0f40fcc0f95139cc148bcbad.jpg
"A single, elongated Macrouridae specimen, exhibiting a dark, mottled coloration, rests on a hard, rocky substrate covered in fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/a30c7c5d-a56c-4a1e-a19f-e77a53819f07_original_jpg.rf.128702cde6fc7246d5e30dd2c05f52de.jpg
"At 1440.86 m depth, a single Laetmogonidae holothurian, Pannychia moseleyi, was observed on soft sediment, characterized by a cylindrical shape, reddish-brown color, and rough texture.",src/data/Fathomnet-by-Phylum-2/train/images/d2d6b0cf-65bb-4274-94b2-d232581cb426_original_jpg.rf.d70d111dc7479579f8d473940724a304.jpg
"One Antimora microlepis, a member of the Moridae family, rests on a mixed substrate of rocky outcrops and fine sediment, exhibiting an elongated, streamlined body.",src/data/Fathomnet-by-Phylum-2/train/images/a8b47b61-389d-480a-840e-e10b6737316b_original_jpg.rf.4da28baefb28017be39280230bb895db.jpg
"On a rocky substrate covered in sediment, five Demospongiae (Cladorhizidae) exhibit branched, sponge-like morphologies with rough textures, while five Asteroidea (Goniasteridae) display star-shaped forms.",src/data/Fathomnet-by-Phylum-2/train/images/89f52ffb-4ff2-460d-9534-64df47fdfc65_original_jpg.rf.56ff4eec7bc746efa1e872338a7b6db8.jpg
"A single, bushy, fan-shaped colony of Paragorgia arborea, exhibiting a pink hue and rough texture, is anchored on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/0e959176-7522-417a-92b3-00571c073b13_original_jpg.rf.0b587ddf8fc66497491ca5b2c4e16fab.jpg
"On a rocky substrate interspersed with sediment, four Synallactes (Holothuroidea, Synallactidae) exhibit elongated, soft-bodied morphology with pale coloration.",src/data/Fathomnet-by-Phylum-2/train/images/1c8a72dd-2e3f-4f1f-b687-790d589a9dc0_original_jpg.rf.cb4e2f45cbad0fd6c251b2cf9acfbfac.jpg
"One Antimora microlepis, a member of the Moridae family, rests on a substrate of fine sediment and scattered rocky outcrops, exhibiting an elongated, streamlined body.",src/data/Fathomnet-by-Phylum-2/train/images/ff582fb9-e98f-4b9a-83d3-df276f5ab384_original_jpg.rf.8c4917d386ab84981a0223ebe51c77bc.jpg
"One Psychrolutes phrictus, a member of the Psychrolutidae family, rests on a rocky substrate with uneven, fragmented surfaces, exhibiting a gelatinous, rounded body with pale coloration.",src/data/Fathomnet-by-Phylum-2/train/images/2497f725-5471-4879-a6c2-484a402839d9_original_jpg.rf.9cfa59e8c0e1860e6dbd9d6fa9a97490.jpg
"In a diverse marine ecosystem, twenty Zoantharia colonies, characterized by translucent polyps with feathery tentacles, thrive on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/372051d3-ca43-43e6-a8c5-a0c92fb595f3_original_jpg.rf.6b30d2c4b1b87495d30ebdee87ea5c93.jpg
"One Opisthoteuthis cf. californiana, a cephalopod with a rounded, gelatinous body and reddish hue, rests on a substrate of coarse sediment and rocky outcrops.",src/data/Fathomnet-by-Phylum-2/train/images/1bec787f-0fdd-4956-9d74-2aea731011aa_original_jpg.rf.96fefa7c4d0c5b0dc1b488e557755288.jpg
"One Psychrolutes phrictus, a member of the Psychrolutidae family, exhibits a gelatinous, rounded body with a mottled gray coloration, resting on a substrate of angular rock and sediment.",src/data/Fathomnet-by-Phylum-2/train/images/84f4181e-0d5c-490a-902d-2d4e9d28999d_original_jpg.rf.3081811bc3d58d109cef8cb47da5b586.jpg
"A single Synallactidae specimen, characterized by its elongated, soft-bodied form and mottled coloration, rests on a substrate of coarse sediment and dark rocks.",src/data/Fathomnet-by-Phylum-2/train/images/f3b9348a-8e3f-4205-b358-07f3c588dc66_original_jpg.rf.0dab97d9546119211183e383c217d361.jpg
"A single, gelatinous, translucent Peniagone specimen (Family: Elpidiidae) rests on a rocky substrate covered in fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/63d4b8de-1fa2-47bf-b13e-80ffc114cb7c_original_jpg.rf.8d277c1cf61b63327f2c815f4d0b2a52.jpg
"One Coryphaenoides acrolepis, a deep-sea fish from the family Macrouridae, rests on a rocky substrate interspersed with fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/2ea570f9-4688-4fa0-91f2-7b2f6062eaa1_original_jpg.rf.8b86b725005782d4b60b70ae1617711b.jpg
"Two Schizopathidae corals exhibit branching, white structures with a rough texture, while two elongated, pinkish Holothuroidea rest on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/8c0419d9-b33e-4bce-8735-f64b422292c4_original_jpg.rf.5c667de80aaae57f281acca9bc3d9795.jpg
"One Opisthoteuthidae specimen, exhibiting a rounded, gelatinous body with a reddish hue and textured skin, is situated on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/865a6253-8bea-4c72-8795-c3e55c85842b_original_jpg.rf.38e68280af5269b6227542d0094ea2bc.jpg
