uuid,caption
bc35cf0c-283c-48af-88f0-b2e2ac2d0279,"spinosissima, Bathyraja spinosissima	Bathyraja spinosissima exhibits a slender, elongated shape with a broad pectoral fin base, a mottled brown to greyish-brown colouration with lighter ventral surfaces, and a rough, leathery skin texture covered in scattered, needle-like denticles. taxonomic hierarchy: phylum Chordata, class Elasmobranchii, order Rajiformes, family Arhynchobatidae, genus Bathyraja. environment: depth 1832.7m, temp 2.0°C."
ebaab37a-a3a0-4354-87a6-904ce1f16b2b,"abyssicola, Bathyraja abyssicola	Bathyraja abyssicola exhibits a slender, elongated body shape, a primarily dark brown to almost black dorsal side with scattered pale blotches or markings, and a pale underside, covered in a smooth, nearly hairless skin with small denticles that provide some texture.. taxonomic hierarchy: phylum Chordata, class Elasmobranchii, order Rajiformes, family Arhynchobatidae, genus Bathyraja. environment: depth 1531.4m, temp 2.39°C."
d1d7c795-cc3b-4059-99a3-f1a7256bbcc1,"Pannychia, Pannychia	Pannychia exhibits a slender, elongated shape, typically covered in a dull red or brown mottled integument with fine, powdery texture and numerous small, scattered ossicles that provide skeletal support, characteristic of holothurians.. taxonomic hierarchy: phylum Echinodermata, class Holothuroidea, order Elasipodida, family Laetmogonidae. environment: depth 1466.6m, temp 2.45°C."
4141783d-2a0c-496d-a563-72c17abe9f09,"moseleyi, Pannychia moseleyi	Pannychia moseleyi is a large, elongated, reddish-brown holothurian with a soft, slightly fragile, and longitudinally wrinkled body covered in tiny, embedded calcareous ossicles giving a granular texture to its skin.. taxonomic hierarchy: phylum Echinodermata, class Holothuroidea, order Elasipodida, family Laetmogonidae, genus Pannychia. environment: depth 1795.1m, temp 2.11°C."
4141783d-2a0c-496d-a563-72c17abe9f09,"spinosissima, Bathyraja spinosissima	Bathyraja spinosissima exhibits a slender, elongated shape with a broad pectoral fin base, a mottled brown to greyish-brown colouration with lighter ventral surfaces, and a rough, leathery skin texture covered in scattered, needle-like denticles. taxonomic hierarchy: phylum Chordata, class Elasmobranchii, order Rajiformes, family Arhynchobatidae, genus Bathyraja. environment: depth 1795.1m, temp 2.11°C."
024b57e3-3fe4-44e2-8ca1-d5887632c162,"Pterasteridae, Pterasteridae	The Pterasteridae, members of the Velatida order within the Asteroidea class of Echinodermata phylum, display disc-shaped morphology with five radiating arms, typically featuring a dull purple to dark grey color and a rough, starfish-like texture due to the covering of. taxonomic hierarchy: phylum Echinodermata, class Asteroidea, order Velatida. environment: depth 1545.4m, temp 2.4°C."
718392e2-425d-4266-910b-1e76888e4653,"fragilis, Psathyrometra fragilis	Psathyrometra fragilis is a delicate, pale-colored, feathery Crinoidean with slender, pinnate arms and a short, rounded, five-parted calyx.. taxonomic hierarchy: phylum Echinodermata, class Crinoidea, order Comatulida, family Zenometridae, genus Psathyrometra. environment: depth 1471.1m, temp 2.34°C."
718392e2-425d-4266-910b-1e76888e4653,"Macrouridae, Macrouridae	Macrouridae are elongated, streamlined fish with a mottled brown to grayish-brown coloration, typically bearing a distinctive texture of small, scattered scales and ridges on their bodies, which may also exhibit darker longitudinal stripes.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Gadiformes. environment: depth 1471.1m, temp 2.34°C."
718392e2-425d-4266-910b-1e76888e4653,"fragilis, Psathyrometra fragilis	Psathyrometra fragilis is a delicate, pale-colored, feathery Crinoidean with slender, pinnate arms and a short, rounded, five-parted calyx.. taxonomic hierarchy: phylum Echinodermata, class Crinoidea, order Comatulida, family Zenometridae, genus Psathyrometra. environment: depth 1471.1m, temp 2.34°C."
0632ef53-e09f-4b0e-96f7-2a87d0816b76,"abyssicola, Bathyraja abyssicola	Bathyraja abyssicola exhibits a slender, elongated body shape, a primarily dark brown to almost black dorsal side with scattered pale blotches or markings, and a pale underside, covered in a smooth, nearly hairless skin with small denticles that provide some texture.. taxonomic hierarchy: phylum Chordata, class Elasmobranchii, order Rajiformes, family Arhynchobatidae, genus Bathyraja. environment: depth 1531.4m, temp 2.38°C."
49ab0849-5b50-416e-8352-a8974bd672f2,"Coryphaenoides, Coryphaenoides	Coryphaenoides exhibits an elongated, cylindrical body shape with a tapering tail, a mottled brown to dark grey mottled skin, and a soft, scaleless texture that is often accompanied by small, roughened barbels on its mouth and chin.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Gadiformes, family Macrouridae. environment: depth 2402.1m, temp 1.81°C."
63b763e9-d6c2-48ba-af02-c538c5314ed7,"Pterasteridae, Pterasteridae	The Pterasteridae, members of the Velatida order within the Asteroidea class of Echinodermata phylum, display disc-shaped morphology with five radiating arms, typically featuring a dull purple to dark grey color and a rough, starfish-like texture due to the covering of. taxonomic hierarchy: phylum Echinodermata, class Asteroidea, order Velatida. environment: depth 1545.5m, temp 2.4°C."
d8c29f5b-898d-4660-90d9-b6544d5da283,"phrictus, Psychrolutes phrictus	Psychrolutes phrictus has a stout, elongated body shape, a mottled brown to grayish-brown coloration, and a typically smooth skin texture with scattered skin papillae.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Perciformes, family Psychrolutidae, genus Psychrolutes. environment: depth 1470.2m, temp 2.41°C."
50b89c53-03e8-49cb-95b4-073c450a2695,"Coryphaenoides, Coryphaenoides	Coryphaenoides exhibits an elongated, cylindrical body shape with a tapering tail, a mottled brown to dark grey mottled skin, and a soft, scaleless texture that is often accompanied by small, roughened barbels on its mouth and chin.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Gadiformes, family Macrouridae. environment: depth 2516.2m, temp 1.82°C."
50b89c53-03e8-49cb-95b4-073c450a2695,"Porifera, Porifera	Porifera are soft-bodied, generally spherical or irregularly shaped marine organisms with a varied color range that may include shades of brown, yellow, or gray, often covered in a porous, fibrous texture due to their characteristic spongy skeleton.. environment: depth 2516.2m, temp 1.82°C."
58bef40c-7c9f-4174-abe1-8f6522b2e905,"Coryphaenoides, Coryphaenoides	Coryphaenoides exhibits an elongated, cylindrical body shape with a tapering tail, a mottled brown to dark grey mottled skin, and a soft, scaleless texture that is often accompanied by small, roughened barbels on its mouth and chin.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Gadiformes, family Macrouridae. environment: depth 1467.3m, temp 2.45°C."
e57c6824-276f-4f21-b47c-cb160c2f76c5,"Coryphaenoides, Coryphaenoides	Coryphaenoides exhibits an elongated, cylindrical body shape with a tapering tail, a mottled brown to dark grey mottled skin, and a soft, scaleless texture that is often accompanied by small, roughened barbels on its mouth and chin.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Gadiformes, family Macrouridae. environment: depth 1514.6m, temp 2.44°C."
358f1390-960c-4aa4-8340-e2b27ab674e6,"Pannychia, Pannychia	Pannychia exhibits a slender, elongated shape, typically covered in a dull red or brown mottled integument with fine, powdery texture and numerous small, scattered ossicles that provide skeletal support, characteristic of holothurians.. taxonomic hierarchy: phylum Echinodermata, class Holothuroidea, order Elasipodida, family Laetmogonidae. environment: depth 1518.8m, temp 2.4°C."
001c55a1-6a39-4f0b-8cba-70efa5b6ef0e,"spinosissima, Bathyraja spinosissima	Bathyraja spinosissima exhibits a slender, elongated shape with a broad pectoral fin base, a mottled brown to greyish-brown colouration with lighter ventral surfaces, and a rough, leathery skin texture covered in scattered, needle-like denticles. taxonomic hierarchy: phylum Chordata, class Elasmobranchii, order Rajiformes, family Arhynchobatidae, genus Bathyraja. environment: depth 1539.0m, temp 2.47°C."
5626fa1a-5a2e-4394-89e6-30e74805d778,"spinosissima, Bathyraja spinosissima	Bathyraja spinosissima exhibits a slender, elongated shape with a broad pectoral fin base, a mottled brown to greyish-brown colouration with lighter ventral surfaces, and a rough, leathery skin texture covered in scattered, needle-like denticles. taxonomic hierarchy: phylum Chordata, class Elasmobranchii, order Rajiformes, family Arhynchobatidae, genus Bathyraja. environment: depth 1550.2m, temp 2.39°C."
8f39e373-a9c2-4976-a68e-ae72405befef,"phrictus, Psychrolutes phrictus	Psychrolutes phrictus has a stout, elongated body shape, a mottled brown to grayish-brown coloration, and a typically smooth skin texture with scattered skin papillae.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Perciformes, family Psychrolutidae, genus Psychrolutes. environment: depth 1469.9m, temp 2.41°C."
2bac7530-2e39-4547-a5ab-db12c0076ad6,"phrictus, Psychrolutes phrictus	Psychrolutes phrictus has a stout, elongated body shape, a mottled brown to grayish-brown coloration, and a typically smooth skin texture with scattered skin papillae.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Perciformes, family Psychrolutidae, genus Psychrolutes. environment: depth 1519.7m, temp 2.43°C."
19b92796-58d7-4bf6-8ea7-d5bf8c02705b,"Coryphaenoides, Coryphaenoides	Coryphaenoides exhibits an elongated, cylindrical body shape with a tapering tail, a mottled brown to dark grey mottled skin, and a soft, scaleless texture that is often accompanied by small, roughened barbels on its mouth and chin.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Gadiformes, family Macrouridae. environment: depth 2468.0m, temp 1.8°C."
b784d58d-9e6d-4d2c-9117-fad7801d8e57,"phrictus, Psychrolutes phrictus	Psychrolutes phrictus has a stout, elongated body shape, a mottled brown to grayish-brown coloration, and a typically smooth skin texture with scattered skin papillae.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Perciformes, family Psychrolutidae, genus Psychrolutes. environment: depth 1536.7m, temp 2.46°C."
8d63cda5-c646-4720-b6b0-9dbd98931686,"spinosissima, Bathyraja spinosissima	Bathyraja spinosissima exhibits a slender, elongated shape with a broad pectoral fin base, a mottled brown to greyish-brown colouration with lighter ventral surfaces, and a rough, leathery skin texture covered in scattered, needle-like denticles. taxonomic hierarchy: phylum Chordata, class Elasmobranchii, order Rajiformes, family Arhynchobatidae, genus Bathyraja. environment: depth 2059.1m, temp 1.99°C."
51acbdc8-70f9-4857-a2e5-645cc3e1c4ad,"moseleyi, Pannychia moseleyi	Pannychia moseleyi is a large, elongated, reddish-brown holothurian with a soft, slightly fragile, and longitudinally wrinkled body covered in tiny, embedded calcareous ossicles giving a granular texture to its skin.. taxonomic hierarchy: phylum Echinodermata, class Holothuroidea, order Elasipodida, family Laetmogonidae, genus Pannychia. environment: depth 1474.3m, temp 2.41°C."
a30c7c5d-a56c-4a1e-a19f-e77a53819f07,"Macrouridae, Macrouridae	Macrouridae are elongated, streamlined fish with a mottled brown to grayish-brown coloration, typically bearing a distinctive texture of small, scattered scales and ridges on their bodies, which may also exhibit darker longitudinal stripes.. taxonomic hierarchy: phylum Chordata, class Teleostei, order Gadiformes. environment: depth 2366.6m, temp 1.85°C."
0fbc3d47-206c-4546-b614-f2d9e2d91966,"Pannychia, Pannychia	Pannychia exhibits a slender, elongated shape, typically covered in a dull red or brown mottled integument with fine, powdery texture and numerous small, scattered ossicles that provide skeletal support, characteristic of holothurians.. taxonomic hierarchy: phylum Echinodermata, class Holothuroidea, order Elasipodida, family Laetmogonidae. environment: depth 2292.9m, temp 1.87°C."
763521d3-dfe9-4221-ad5c-40d110285b18,"spinosissima, Bathyraja spinosissima	Bathyraja spinosissima exhibits a slender, elongated shape with a broad pectoral fin base, a mottled brown to greyish-brown colouration with lighter ventral surfaces, and a rough, leathery skin texture covered in scattered, needle-like denticles. taxonomic hierarchy: phylum Chordata, class Elasmobranchii, order Rajiformes, family Arhynchobatidae, genus Bathyraja. environment: depth 1829.5m, temp 2.03°C."
