caption,filepath
"A solitary Pteraster observed on the seafloor at 2278.5m, indicating a sparse distribution in this deep-sea habitat.",src/data/Fathomnet-by-Phylum-2/train/images/405f9f17-9ecf-46ad-8590-44f967731c6b_original_jpg.rf.a94a84bda2ef02bb03b75c7c75bc2850.jpg
"Macrouridae observed foraging among rocky substrate at a depth of 2366.58 meters, indicating a benthic community structure.",src/data/Fathomnet-by-Phylum-2/train/images/a30c7c5d-a56c-4a1e-a19f-e77a53819f07_original_jpg.rf.15d92309d702a6934bf246730be17cde.jpg
"A siphonophore is observed drifting above a rocky substrate, indicating a solitary foraging behavior in this deep-sea environment.",src/data/Fathomnet-by-Phylum-2/train/images/fc4f0300-8602-4b52-bf31-e400ff4aecf7_original_jpg.rf.734f7c0413ca8c269e2c361caefb0c8a.jpg
"Bathyraja spinosissima is observed resting on the seafloor, likely utilizing the rocky substrate for camouflage and protection.",src/data/Fathomnet-by-Phylum-2/train/images/bb8f49a5-21ad-4354-93a4-806005e61586_original_jpg.rf.ca0d902e9cafbdb310e7d04132522539.jpg
"A siphonophore is observed drifting above rocky substrate at a depth of 2324.9 meters, indicating a solitary foraging behavior.",src/data/Fathomnet-by-Phylum-2/train/images/63dc7abd-52d3-432b-8166-00e6a849efb7_original_jpg.rf.2ca42cc49705c7ebf5867c94c1a92245.jpg
"Solasteridae observed foraging among rocky substrate at a depth of 2236.75m, indicating a diverse benthic community structure.",src/data/Fathomnet-by-Phylum-2/train/images/07f19530-a0c3-4a49-ab20-77f65c576d60_original_jpg.rf.e82ea1b842d45d402f7b1f3b754ddfcd.jpg
Opisthoteuthis cf. californiana observed foraging among rocky substrate at a depth of 1543 meters.,src/data/Fathomnet-by-Phylum-2/train/images/0d6d3ac3-ce5f-4cf1-a577-9b2ac77aa6dd_original_jpg.rf.ede2c4ae52482435e014c08833ce4d1b.jpg
"Octocorallia, Pannychia, and Tunicata are observed in a sparse community arrangement on the seafloor at 2305.7 m depth.",src/data/Fathomnet-by-Phylum-2/train/images/63a1de4f-0fa5-438d-b9c8-2ed5bfc7a67c_original_jpg.rf.cf7185c0929d102b4db4e9308ab73aa2.jpg
A Psychrolutes phrictus is observed foraging among benthic structures at a depth of 1542.3 meters.,src/data/Fathomnet-by-Phylum-2/train/images/ade3d7cf-2ee8-4320-9d54-66113f046737_original_jpg.rf.72c0ab61f2a8edb3dc20103d6a48e389.jpg
One Coryphaenoides acrolepis is observed foraging alone among rocky substrate at a depth of 1527.81 meters.,src/data/Fathomnet-by-Phylum-2/train/images/85f39cfe-0173-4645-8994-e1389c54c88b_original_jpg.rf.d31eb03e1f0a6cf4406248d0cd548c32.jpg
