caption,filepath
"Antimora microlepis exhibits an elongated, streamlined body with a dark brown coloration, resting on a rocky substrate covered in fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/4a4deb91-5e33-4766-bf14-d419d764e2aa_original_jpg.rf.b0d0c45896f8a3f6d3218e3ef3578ef6.jpg
"Chrysogorgia pinnata exhibits a branching, tree-like morphology with white polyps, while the substrate consists of rocky outcrops and sediment.",src/data/Fathomnet-by-Phylum-2/train/images/cec69846-3cd6-4811-9b86-92f1186f5f79_original_jpg.rf.7f85551154148c4a519eb10e7dd4393d.jpg
"Pteraster exhibits a pentagonal shape with a pale pink hue, rough texture, and is situated on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/8eb9fb01-42a2-4a48-a0d3-c9ca72fbbe3d_original_jpg.rf.5d124fdab6174192c9c4894b806f5f4d.jpg
"Coryphaenoides exhibits an elongated, streamlined body with a silvery hue and smooth texture, resting on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/cae70be6-7fd2-4703-940f-e1f5b4d43f74_original_jpg.rf.36e0e9a740b156d8e3471d580991c8b6.jpg
"Paragorgia arborea exhibits a branching, tree-like morphology with a pink hue and a soft, flexible texture, anchored on rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/cc84cea7-1771-4025-8978-c076f26baf5d_original_jpg.rf.b1c4d7b990dac650dbda48e0117c2135.jpg
"Hyalonema exhibits a cylindrical, spicule-rich body with a pale coloration, while Synallactes shows a more elongated form with a darker hue, both resting on rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/13ef4af0-5308-48c8-8ab8-939fa705e2ff_original_jpg.rf.95a7afb84cef5a1f353ce5f62196464c.jpg
"Holothuroidea exhibit elongated, cylindrical bodies with a leathery texture, often in muted colors, resting on a rocky substrate interspersed with fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/072a0020-bf83-4edb-99e9-cbd0f4f01c41_original_jpg.rf.d8d74bda476a149ee826b0e0bef5f5dc.jpg
"Coryphaenoides exhibit elongated, streamlined bodies with a pale coloration, residing on a rocky substrate interspersed with sediment.",src/data/Fathomnet-by-Phylum-2/train/images/e57c6824-276f-4f21-b47c-cb160c2f76c5_original_jpg.rf.d0e3f6613fac4de1f8360a10ac1dcfe4.jpg
"Paragorgia arborea exhibits a bushy, branching morphology with pale coloration and a rough, textured surface, situated on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/28d8fe07-fb5b-4431-854a-0d4ed60313c8_original_jpg.rf.a323fd78475606289330b4625fb983e1.jpg
"Pannychia exhibits elongated, gelatinous bodies with a translucent appearance, while Tunicata displays a more rigid, tunicate structure on rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/63a1de4f-0fa5-438d-b9c8-2ed5bfc7a67c_original_jpg.rf.f6c2e23142df82d3a43fd440cb25ee7b.jpg
"Antimora microlepis exhibits an elongated, streamlined body with a pale coloration, resting on a soft, sedimentary substrate interspersed with rocky outcrops.",src/data/Fathomnet-by-Phylum-2/train/images/2da95db7-c637-49cd-aa8a-fb7e29384f9a_original_jpg.rf.4bb8cdfbefb3b13102806cddcc5eb742.jpg
"Tunicata exhibit irregular, gelatinous shapes with a translucent appearance, adhering to rocky substrate covered in fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/656f1397-2962-48f3-b2f0-6d2c9930d788_original_jpg.rf.0cac57798f5548975adae59caee32063.jpg
"Bathyraja spinosissima exhibits a flattened, disc-shaped body with a pale coloration and smooth texture, resting on soft sediment substrate.",src/data/Fathomnet-by-Phylum-2/train/images/7bea8f98-4bc0-4a97-b43e-4be5b24b306b_original_jpg.rf.74d4a62b57de9bfa62fa94834d3a9dab.jpg
"Bathyraja spinosissima exhibits a flattened, oval shape with a mottled gray coloration and rough texture, resting on rocky substrate at depth.",src/data/Fathomnet-by-Phylum-2/train/images/520afa30-41c9-4f68-8a8b-abb61544b922_original_jpg.rf.cecf22b9bb375389086f2723c3ad231b.jpg
"Pannychia moseleyi exhibits a cylindrical shape, reddish-brown color, rough texture, and resides on a soft sediment substrate at 1440.86 m depth.",src/data/Fathomnet-by-Phylum-2/train/images/d2d6b0cf-65bb-4274-94b2-d232581cb426_original_jpg.rf.94399d4b56fc182f195e59050ee72604.jpg
"Opisthoteuthis cf. californiana exhibits a rounded, soft body with a reddish-brown hue, resting on a sandy substrate interspersed with rocky formations.",src/data/Fathomnet-by-Phylum-2/train/images/36a7932e-12f8-46c4-95fe-8263ec1c2132_original_jpg.rf.930abb481cca1a64523eaf2c15e4bd70.jpg
"Antimora microlepis exhibits an elongated, streamlined body with a dark brown coloration and smooth texture, resting on a rugged volcanic substrate.",src/data/Fathomnet-by-Phylum-2/train/images/0119ae5f-0b36-48c1-875a-bb37907cec57_original_jpg.rf.ca7739d8f3dfc6b671c39336171893d8.jpg
"Coryphaenoides exhibit elongated, streamlined bodies with a pale coloration, resting on a substrate of coarse sediment and rocky outcrops.",src/data/Fathomnet-by-Phylum-2/train/images/3e01dbd5-ff56-4996-bf65-b0b72e196f11_original_jpg.rf.ec3ec002dd9ed012fdf3016f9a74c240.jpg
"Synallactes exhibit elongated, cylindrical bodies with a smooth texture, displaying a pale coloration against a substrate of irregular, rocky sediment.",src/data/Fathomnet-by-Phylum-2/train/images/9ce237b9-c2f6-487b-9a48-015a0fc82ca7_original_jpg.rf.824ba1cf91f5cbb5fc47636ed86f33b9.jpg
"Bathyraja microtrachys exhibits a flattened, disc-shaped body with a mottled brown coloration, resting on a soft sediment substrate.",src/data/Fathomnet-by-Phylum-2/train/images/3bbed6ab-617b-4fa0-9b89-07bf1f242bd0_original_jpg.rf.bd227cbfa86a1ba3d986f53445f6dd84.jpg
"Opisthoteuthis cf. californiana exhibits a rounded, gelatinous body with a pale pink hue, smooth texture, hovering above a soft sediment substrate.",src/data/Fathomnet-by-Phylum-2/train/images/23805f49-26b8-4fa2-a247-f20916e261d9_original_jpg.rf.76999a29dde1d24c520ceaf1ebe9c78f.jpg
"Comatulida exhibit feathery arms in various hues, while Synallactes display elongated bodies with a smooth texture, both residing on rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/cdecd3e9-6671-49b8-9afb-fe9be465bef9_original_jpg.rf.c0999d6666df291913dcba432d922c2e.jpg
"Psychrolutes phrictus exhibits a gelatinous, rounded body with a pale coloration and smooth texture, resting on a rocky substrate with sedimentary features.",src/data/Fathomnet-by-Phylum-2/train/images/b784d58d-9e6d-4d2c-9117-fad7801d8e57_original_jpg.rf.de1c5ff8f6865ff535c290f95ae6bcaa.jpg
"Hyalonema exhibits a cylindrical, spicule-rich body with a pale coloration, while Synallactes shows a more elongated form with a darker hue, both resting on rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/13ef4af0-5308-48c8-8ab8-939fa705e2ff_original_jpg.rf.f800f2a2d9f64870b5724aeb0d1fd378.jpg
"Coryphaenoides exhibits an elongated, streamlined body with a bluish-gray coloration, textured skin, and is situated over a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/45f8e621-4357-4a62-b3de-c6bb997d8b88_original_jpg.rf.09112a872392cc948007b4b700e7067e.jpg
"Pteraster exhibits a pentagonal shape with a pinkish hue and rough, tuberculate texture, resting on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/1ba6b4bd-f70c-4d88-822f-0edf2050fe5b_original_jpg.rf.18b1509d79ad3229142b07ac90958ecd.jpg
"Zoantharia exhibit translucent polyps with feathery tentacles on a rocky substrate, while Galatheoidea display pale chelipeds amidst sediment and polyps.",src/data/Fathomnet-by-Phylum-2/train/images/372051d3-ca43-43e6-a8c5-a0c92fb595f3_original_jpg.rf.78ab8c2e0bf6e73f2a9e96c37db9d630.jpg
"Coryphaenoides exhibit elongated, streamlined bodies with a pale coloration, resting on a substrate of coarse sediment and rocky outcrops.",src/data/Fathomnet-by-Phylum-2/train/images/3e01dbd5-ff56-4996-bf65-b0b72e196f11_original_jpg.rf.ec7bff80b30afb29cd444ac53cf63716.jpg
"Antimora microlepis exhibits an elongated, streamlined body with a dark coloration and smooth texture, resting on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/5ec842d6-e581-4960-8eeb-78c9db3a598e_original_jpg.rf.1b34bec8eef1a9b5ab53548fc3231b6e.jpg
"Keratoisis exhibits a branching, coral-like morphology with a pale color and a rough texture, anchored to a rocky substrate at 1561.0m depth.",src/data/Fathomnet-by-Phylum-2/train/images/248a60f7-057e-420a-9078-9a8432a0addb_original_jpg.rf.359656710fb76b9366fc858db40d58e4.jpg
"Psychrolutes phrictus exhibits a gelatinous, rounded body with a pale gray coloration and smooth texture, resting on a substrate of irregular, dark sedimentary rocks.",src/data/Fathomnet-by-Phylum-2/train/images/a28a684e-a2da-4139-a5ec-d51a3dcab2ce_original_jpg.rf.db29f2bc132a54c1fef288f039bb22b0.jpg
"Chionoecetes tanneri exhibits a robust, oval carapace with a mottled brown coloration and rough texture, resting on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/fd008e42-e8b8-4b55-9d23-4e23b9d9e2ca_original_jpg.rf.1fadac7316a1c9c8ff76b0a9cccd8b0a.jpg
"Pteraster exhibits a pentagonal shape, pale pink coloration with reddish-brown spots, and a rough texture, resting on a rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/c0346466-21e3-4f90-ab36-63a1bf239a2c_original_jpg.rf.b166e451a059f1810a52dd9021a4325a.jpg
"Coryphaenoides exhibits an elongated, streamlined body with a bluish-gray hue, resting on a flat, rocky substrate interspersed with fine sediment.",src/data/Fathomnet-by-Phylum-2/train/images/1c628f9e-65a7-4df2-88e8-be6ec37875ae_original_jpg.rf.592f36ffed645008317cf1378e6b21f3.jpg
