caption,filepath
One Antimora microlepis observed foraging over a rocky substrate at a depth of 2065.7 meters.,src/data/Fathomnet-by-Phylum-2/train/images/4a4deb91-5e33-4766-bf14-d419d764e2aa_original_jpg.rf.b0d0c45896f8a3f6d3218e3ef3578ef6.jpg
"A manipulator interacts with Chrysogorgia pinnata and Porifera, highlighting a spatial arrangement within a deep-sea community at 2279.48 m depth.",src/data/Fathomnet-by-Phylum-2/train/images/cec69846-3cd6-4811-9b86-92f1186f5f79_original_jpg.rf.7f85551154148c4a519eb10e7dd4393d.jpg
"A solitary Pteraster is observed on rocky substrate at a depth of 2362 meters, indicating a benthic community structure.",src/data/Fathomnet-by-Phylum-2/train/images/8eb9fb01-42a2-4a48-a0d3-c9ca72fbbe3d_original_jpg.rf.5d124fdab6174192c9c4894b806f5f4d.jpg
"Coryphaenoides observed foraging near rocky substrate at a depth of 1513.4 meters, indicating a benthic community type.",src/data/Fathomnet-by-Phylum-2/train/images/cae70be6-7fd2-4703-940f-e1f5b4d43f74_original_jpg.rf.36e0e9a740b156d8e3471d580991c8b6.jpg
"Paragorgia arborea exhibits solitary growth at 1669.56 meters, contributing to a diverse deep-sea coral community on rocky substrate.",src/data/Fathomnet-by-Phylum-2/train/images/cc84cea7-1771-4025-8978-c076f26baf5d_original_jpg.rf.b1c4d7b990dac650dbda48e0117c2135.jpg
"Synallactes and Hyalonema observed at 2436.6m, with Synallactes foraging near rocky substrate and Hyalonema positioned on the seafloor.",src/data/Fathomnet-by-Phylum-2/train/images/13ef4af0-5308-48c8-8ab8-939fa705e2ff_original_jpg.rf.95a7afb84cef5a1f353ce5f62196464c.jpg
A Holothuroidea is observed foraging on the sediment surface among rocky substrate at a depth of 2252.2 meters.,src/data/Fathomnet-by-Phylum-2/train/images/072a0020-bf83-4edb-99e9-cbd0f4f01c41_original_jpg.rf.d8d74bda476a149ee826b0e0bef5f5dc.jpg
"Coryphaenoides observed foraging near structured substrate at a depth of 1514.6 meters, indicating a benthic community type.",src/data/Fathomnet-by-Phylum-2/train/images/e57c6824-276f-4f21-b47c-cb160c2f76c5_original_jpg.rf.d0e3f6613fac4de1f8360a10ac1dcfe4.jpg
"Paragorgia arborea is observed in a sparse arrangement among rocky substrate at a depth of 1922.26 meters, indicating a low-density community type.",src/data/Fathomnet-by-Phylum-2/train/images/28d8fe07-fb5b-4431-854a-0d4ed60313c8_original_jpg.rf.a323fd78475606289330b4625fb983e1.jpg
"Octocorallia, Pannychia, and Tunicata are observed in a sparse community arrangement on the seafloor at 2305.7 m depth.",src/data/Fathomnet-by-Phylum-2/train/images/63a1de4f-0fa5-438d-b9c8-2ed5bfc7a67c_original_jpg.rf.f6c2e23142df82d3a43fd440cb25ee7b.jpg
